"markers","status"
"CXCL14","iCMS2"
"LY6G6F-LY6G6D","iCMS2"
"EREG","iCMS2"
"TIMP3","iCMS2"
"KRT23","iCMS2"
"RUBCNL","iCMS2"
"PLTP","iCMS2"
"TNNC2","iCMS2"
"GGH","iCMS2"
"FN1","iCMS2"
"TDGF1","iCMS2"
"ARID3A","iCMS2"
"PTPRO","iCMS2"
"CYP2W1","iCMS2"
"TSPAN6","iCMS2"
"FGGY","iCMS2"
"DPEP1","iCMS2"
"AXIN2","iCMS2"
"PRSS23","iCMS2"
"PLIN2","iCMS2"
"PLCB4","iCMS2"
"RNF43","iCMS2"
"PFDN4","iCMS2"
"ASCL2","iCMS2"
"PRR15","iCMS2"
"DDX27","iCMS2"
"QPRT","iCMS2"
"AP003774.4","iCMS2"
"LCN15","iCMS2"
"POFUT1","iCMS2"
"CPNE1","iCMS2"
"AREG","iCMS2"
"MYC","iCMS2"
"OSER1","iCMS2"
"ZNF503","iCMS2"
"SLC5A6","iCMS2"
"NELFCD","iCMS2"
"DPM1","iCMS2"
"FARP1","iCMS2"
"TP53RK","iCMS2"
"ARHGAP45","iCMS2"
"EIF6","iCMS2"
"ACOT8","iCMS2"
"NKD1","iCMS2"
"CTNNBL1","iCMS2"
"YWHAB","iCMS2"
"TRIB3","iCMS2"
"PSMA7","iCMS2"
"TOP1MT","iCMS2"
"RAB5IF","iCMS2"
"MAPRE1","iCMS2"
"AHCY","iCMS2"
"ATP9A","iCMS2"
"CTSA","iCMS2"
"RAE1","iCMS2"
"NEU1","iCMS2"
"C8orf33","iCMS2"
"CDK5RAP1","iCMS2"
"GPSM2","iCMS2"
"PRPF6","iCMS2"
"TOMM34","iCMS2"
"SCML1","iCMS2"
"STK4","iCMS2"
"DDAH2","iCMS2"
"RTF2","iCMS2"
"PMEPA1","iCMS2"
"FERMT1","iCMS2"
"PRELID3B","iCMS2"
"UCA1","iCMS2"
"GABRE","iCMS2"
"EIF2S2","iCMS2"
"PDRG1","iCMS2"
"NFS1","iCMS2"
"PCMTD2","iCMS2"
"RNF114","iCMS2"
"ANO9","iCMS2"
"FUNDC2","iCMS2"
"ZDHHC9","iCMS2"
"UTP14A","iCMS2"
"STAU1","iCMS2"
"DAB2","iCMS2"
"COMMD7","iCMS2"
"SERPINE2","iCMS2"
"IFITM1","iCMS2"
"RNF113A","iCMS2"
"FMR1","iCMS2"
"PRAP1","iCMS2"
"UCKL1","iCMS2"
"DNTTIP1","iCMS2"
"ADRM1","iCMS2"
"PROSER1","iCMS2"
"GTF2F2","iCMS2"
"ASXL1","iCMS2"
"GID8","iCMS2"
"DKC1","iCMS2"
"GTF2IRD1","iCMS2"
"NDRG3","iCMS2"
"NEK3","iCMS2"
"STX16","iCMS2"
"SERINC3","iCMS2"
"CHCHD7","iCMS2"
"TIMM8A","iCMS2"
"CARS2","iCMS2"
"RRS1","iCMS2"
"ZMYND8","iCMS2"
"TPD52L2","iCMS2"
"PEPD","iCMS2"
"CSE1L","iCMS2"
"UCHL3","iCMS2"
"SLC2A8","iCMS2"
"CYB5B","iCMS2"
"GAL","iCMS2"
"PIGU","iCMS2"
"VAPB","iCMS2"
"PARD6B","iCMS2"
"NCOA3","iCMS2"
"RALY","iCMS2"
"C20orf27","iCMS2"
"EDN1","iCMS2"
"PHF20","iCMS2"
"DEFA6","iCMS2"
"DYNLRB1","iCMS2"
"LAS1L","iCMS2"
"SLC20A2","iCMS2"
"YAE1D1","iCMS2"
"IGBP1","iCMS2"
"FTL","iCMS2"
"KPNA3","iCMS2"
"NKAP","iCMS2"
"PLAGL2","iCMS2"
"PQBP1","iCMS2"
"RAB20","iCMS2"
"MRGBP","iCMS2"
"IFT52","iCMS2"
"SCAND1","iCMS2"
"XRN2","iCMS2"
"ARFRP1","iCMS2"
"RB1CC1","iCMS2"
"NAA20","iCMS2"
"RALGAPB","iCMS2"
"MPLKIP","iCMS2"
"ATP5F1E","iCMS2"
"EEPD1","iCMS2"
"OSBPL2","iCMS2"
"PROX1","iCMS2"
"C2","iCMS2"
"SYS1","iCMS2"
"NORAD","iCMS2"
"FBL","iCMS2"
"SLC7A6","iCMS2"
"ERGIC3","iCMS2"
"SNRPB2","iCMS2"
"PCIF1","iCMS2"
"RPN2","iCMS2"
"MCTS1","iCMS2"
"AURKA","iCMS2"
"EIF3E","iCMS2"
"RAB22A","iCMS2"
"IRS2","iCMS2"
"STRAP","iCMS2"
"RBM39","iCMS2"
"BCAP31","iCMS2"
"CCDC85B","iCMS2"
"CEBPB","iCMS2"
"TBRG4","iCMS2"
"DCAF13","iCMS2"
"RNF170","iCMS2"
"HELZ2","iCMS2"
"ATP6V1H","iCMS2"
"ZFAS1","iCMS2"
"GTF3A","iCMS2"
"MICU2","iCMS2"
"COX19","iCMS2"
"PSPH","iCMS2"
"FNTA","iCMS2"
"NXT1","iCMS2"
"NSDHL","iCMS2"
"SPATA13","iCMS2"
"LAMP2","iCMS2"
"DNAJC5","iCMS2"
"CCL20","iCMS2"
"DARS","iCMS2"
"FTX","iCMS2"
"C6orf48","iCMS2"
"PRKDC","iCMS2"
"RP9","iCMS2"
"DIDO1","iCMS2"
"EIF3H","iCMS2"
"MRPS31","iCMS2"
"PET117","iCMS2"
"YTHDF1","iCMS2"
"RNASEH2B","iCMS2"
"C6orf222","iCMS2"
"UTP23","iCMS2"
"SINHCAF","iCMS2"
"MRPS24","iCMS2"
"TRPC4AP","iCMS2"
"LYPLA1","iCMS2"
"NUDT4","iCMS2"
"SPRYD7","iCMS2"
"ADIRF","iCMS2"
"PCID2","iCMS2"
"PGRMC1","iCMS2"
"SLC52A2","iCMS2"
"TWISTNB","iCMS2"
"UPF3A","iCMS2"
"EPB41L5","iCMS2"
"TCF7","iCMS2"
"ZC3H13","iCMS2"
"SCARB1","iCMS2"
"GNPDA1","iCMS2"
"RNF6","iCMS2"
"TRAP1","iCMS2"
"NCBP2","iCMS2"
"CHD6","iCMS2"
"PDPK1","iCMS2"
"TIMM17B","iCMS2"
"HUS1","iCMS2"
"ASPSCR1","iCMS2"
"C1GALT1C1","iCMS2"
"UBAC2","iCMS2"
"EXOSC5","iCMS2"
"EDEM2","iCMS2"
"VBP1","iCMS2"
"HM13","iCMS2"
"NDFIP2","iCMS2"
"CHMP4C","iCMS2"
"RPUSD1","iCMS2"
"SLC3A2","iCMS2"
"CDK8","iCMS2"
"GLA","iCMS2"
"VMA21","iCMS2"
"CSNK2A2","iCMS2"
"NAE1","iCMS2"
"NIT2","iCMS2"
"COMMD6","iCMS2"
"TBC1D4","iCMS2"
"NAA10","iCMS2"
"ABRACL","iCMS2"
"UTP4","iCMS2"
"LAGE3","iCMS2"
"LDHB","iCMS2"
"SLC29A1","iCMS2"
"GPALPP1","iCMS2"
"NIP7","iCMS2"
"TPX2","iCMS2"
"MED30","iCMS2"
"MALSU1","iCMS2"
